Student_ID,Gender,Age,Grade_Level,Attendance (%),Hours_Studied_Weekly,Parental_Education_Level,Household_Income,Previous_Year_Grade,Participation_in_Extracurriculars,Health_Status,Final_Grade
S0407,Female,16,10th,65,19,Master's,High,D,Yes,Good,A
S0408,Female,15,9th,78,8,Master's,High,D,Yes,Average,C
S0409,Female,16,11th,91,16,Master's,Medium,A,No,Average,B
S0410,Female,14,9th,68,10,Master's,High,B,Yes,Good,A
S0411,Male,16,10th,71,23,High School,High,C,No,Good,C
S0412,Female,16,12th,70,8,High School,High,B,Yes,Poor,C
S0413,Female,17,12th,75,19,Bachelor's,Low,B,Yes,Good,A
S0414,Male,16,10th,60,13,High School,Low,D,Yes,Good,D
S0415,Male,16,10th,80,9,High School,Medium,D,No,Poor,F
S0416,Male,14,12th,89,17,High School,Low,D,No,Good,D
S0417,Male,17,9th,72,22,Master's,Medium,A,No,Good,B
S0418,Female,18,9th,93,9,Bachelor's,Low,B,No,Poor,C
S0419,Female,14,10th,63,20,Bachelor's,High,B,Yes,Good,A
S0420,Female,14,9th,87,23,Bachelor's,Low,A,No,Good,B
S0421,Female,18,12th,97,18,Bachelor's,Medium,A,Yes,Poor,A
S0422,Female,16,9th,90,20,High School,Low,A,No,Poor,D
S0423,Female,15,10th,86,19,High School,High,B,No,Average,C
S0424,Male,17,12th,64,8,Master's,Medium,B,Yes,Good,B
S0425,Female,15,9th,84,11,Bachelor's,High,D,Yes,Average,C
S0426,Male,18,11th,62,20,High School,High,D,No,Average,D
S0427,Male,14,12th,92,12,High School,Medium,B,No,Poor,D
S0428,Female,14,12th,63,21,Master's,High,D,Yes,Good,A
S0429,Male,17,11th,84,20,Master's,High,A,Yes,Good,A
S0430,Female,14,11th,79,14,Master's,Low,C,Yes,Poor,D
S0431,Male,14,12th,93,14,High School,High,D,Yes,Average,C
S0432,Female,17,11th,85,6,High School,High,B,Yes,Poor,C
S0433,Male,17,10th,64,13,Master's,High,D,No,Good,C
S0434,Female,18,10th,94,21,Bachelor's,High,D,No,Poor,B
S0435,Female,14,10th,87,15,Master's,Medium,D,No,Good,D
S0436,Female,14,12th,88,14,Master's,Low,C,No,Average,F
S0437,Female,18,11th,68,21,Master's,High,A,Yes,Good,A
S0438,Female,16,11th,97,8,Master's,High,B,Yes,Average,A
S0439,Male,16,9th,65,20,High School,Medium,C,Yes,Average,D
S0440,Male,16,9th,78,24,Bachelor's,High,B,No,Good,A
S0441,Male,18,11th,70,19,Master's,Medium,B,Yes,Good,A
S0442,Female,14,11th,61,9,Bachelor's,Low,B,Yes,Average,C
S0443,Male,18,11th,68,10,Bachelor's,Low,C,No,Poor,F
S0444,Female,18,12th,80,21,Bachelor's,High,A,No,Good,A
S0445,Female,16,11th,83,5,Master's,High,B,No,Average,C
S0446,Male,15,9th,93,23,High School,High,A,Yes,Average,A
S0447,Male,14,12th,81,8,Master's,Medium,A,Yes,Poor,C
S0448,Female,16,11th,62,21,Bachelor's,High,D,No,Good,B
S0449,Male,15,9th,71,13,Bachelor's,High,C,No,Average,D
S0450,Female,15,12th,87,6,High School,Low,C,Yes,Poor,F
S0451,Female,17,11th,89,12,Master's,High,D,No,Average,D
S0452,Female,14,11th,85,19,Bachelor's,Low,D,Yes,Good,B
S0453,Female,15,11th,80,11,High School,High,A,No,Poor,D
S0454,Female,16,12th,87,10,Bachelor's,Low,B,No,Average,D
S0455,Male,17,9th,85,5,High School,High,C,No,Poor,F
S0456,Male,14,9th,92,19,High School,Low,B,Yes,Good,A
S0457,Female,18,10th,80,11,Master's,Medium,B,Yes,Poor,C
S0458,Female,16,11th,94,21,Bachelor's,Low,D,No,Good,B
S0459,Male,15,10th,93,6,Master's,Low,B,Yes,Average,B
S0460,Male,15,10th,100,13,Bachelor's,Low,A,No,Good,B
S0461,Female,16,9th,77,13,Master's,High,D,No,Average,D
S0462,Male,15,12th,70,17,Bachelor's,High,B,Yes,Average,A
S0463,Female,17,12th,82,10,Master's,High,D,Yes,Good,B
S0464,Male,14,9th,81,10,High School,Medium,A,Yes,Average,D
S0465,Female,17,12th,76,24,Bachelor's,Medium,A,Yes,Poor,B
S0466,Male,15,10th,64,24,Bachelor's,Low,B,No,Average,C
S0467,Female,18,11th,70,7,High School,Medium,D,Yes,Good,D
S0468,Male,14,9th,89,21,Master's,Low,B,Yes,Poor,B
S0469,Male,14,11th,74,21,Bachelor's,Low,B,No,Poor,C
S0470,Female,16,12th,86,16,Bachelor's,Low,D,No,Average,D
S0471,Male,16,11th,94,20,Master's,Medium,B,No,Average,B
S0472,Female,18,12th,92,19,High School,High,A,No,Good,A
S0473,Male,14,12th,79,17,Master's,Medium,D,Yes,Poor,C
S0474,Female,18,10th,75,5,Master's,Low,D,Yes,Good,C
S0475,Male,16,12th,93,21,Master's,Low,D,No,Average,C
S0476,Female,16,10th,61,7,Bachelor's,Medium,D,No,Poor,F
S0477,Male,14,10th,94,19,High School,Low,B,Yes,Good,A
S0478,Female,17,10th,99,8,High School,Low,B,Yes,Good,B
S0479,Male,15,9th,87,8,Master's,Medium,A,Yes,Good,B
S0480,Female,16,9th,98,22,Bachelor's,Medium,C,Yes,Good,A
S0481,Female,16,12th,65,21,Master's,Medium,C,Yes,Good,B
S0482,Female,17,10th,68,23,Bachelor's,Low,A,No,Poor,C
S0483,Male,17,9th,79,15,Bachelor's,Low,C,No,Good,D
S0484,Female,18,10th,60,24,Bachelor's,High,A,No,Poor,B
S0485,Male,18,11th,67,7,Bachelor's,High,B,No,Good,B
S0486,Female,15,11th,82,12,High School,Medium,D,Yes,Average,F
S0487,Male,15,11th,62,18,Bachelor's,High,D,No,Average,C
S0488,Female,14,12th,63,5,Bachelor's,Low,B,Yes,Good,B
S0489,Male,18,10th,84,18,Master's,High,D,Yes,Average,B
S0490,Male,16,11th,97,6,Master's,Low,D,Yes,Poor,C
S0491,Female,18,9th,74,8,High School,Medium,C,Yes,Good,D
S0492,Male,16,11th,80,23,Master's,Medium,B,Yes,Poor,B
S0493,Male,17,11th,94,10,Bachelor's,Low,C,Yes,Good,B
S0494,Female,18,11th,73,5,Master's,High,C,Yes,Average,C
S0495,Male,17,12th,95,21,High School,Medium,D,No,Poor,D
S0496,Male,15,9th,71,12,Master's,Medium,D,Yes,Average,D
S0497,Male,15,10th,76,23,Master's,High,B,No,Average,B
S0498,Female,14,9th,98,5,High School,High,D,No,Good,C
S0499,Male,18,10th,68,9,High School,Low,D,Yes,Poor,F
S0500,Female,17,12th,94,20,Bachelor's,High,B,Yes,Average,A
S0501,Male,16,12th,72,10,Master's,High,D,No,Good,C
S0502,Male,15,12th,74,12,Bachelor's,High,C,No,Good,C
S0503,Male,15,12th,77,17,Master's,Low,B,No,Good,B
S0504,Female,16,10th,92,20,Master's,Low,D,No,Average,C
S0505,Male,17,11th,65,7,Bachelor's,Medium,A,Yes,Good,B
S0506,Male,17,10th,86,23,Master's,Low,B,Yes,Poor,B
S0507,Female,18,9th,82,16,Master's,Medium,B,Yes,Poor,B
S0508,Male,18,12th,86,20,Master's,High,A,No,Average,B
S0509,Female,14,12th,93,15,High School,Medium,D,Yes,Poor,D
S0510,Female,15,9th,97,14,Bachelor's,Medium,D,No,Good,C
S0511,Male,18,10th,73,24,High School,High,B,Yes,Average,B
S0512,Female,17,11th,95,8,Bachelor's,Medium,B,No,Good,B
S0513,Male,16,11th,67,16,Bachelor's,Low,D,Yes,Average,C
S0514,Female,17,9th,94,6,Master's,Low,D,Yes,Average,C
S0515,Female,15,11th,78,23,Bachelor's,Low,C,No,Good,C
S0516,Male,17,10th,89,9,High School,Low,B,No,Poor,F
S0517,Female,14,10th,73,12,High School,Medium,B,No,Poor,F
S0518,Female,15,9th,79,11,High School,Medium,A,No,Average,F
S0519,Female,16,10th,84,18,Bachelor's,High,C,No,Good,B
S0520,Female,14,12th,99,7,High School,Medium,D,Yes,Good,C
S0521,Female,15,9th,83,22,Bachelor's,Medium,C,No,Average,D
S0522,Male,16,10th,73,20,High School,Medium,D,Yes,Poor,D
S0523,Female,14,9th,85,23,High School,High,D,Yes,Good,B
S0524,Male,14,11th,97,23,Bachelor's,Low,C,Yes,Poor,B
S0525,Female,15,10th,82,22,High School,Medium,B,Yes,Poor,C
S0526,Male,18,12th,81,24,Master's,High,D,Yes,Average,B
S0527,Male,14,10th,78,20,Bachelor's,High,C,No,Average,C
S0528,Female,14,9th,62,12,Bachelor's,High,A,No,Poor,C
S0529,Female,16,9th,78,5,Bachelor's,Low,C,Yes,Good,C
S0530,Female,17,10th,68,21,Master's,Medium,A,Yes,Good,A
S0531,Male,15,12th,87,16,Bachelor's,High,D,No,Average,C
S0532,Female,15,12th,79,15,High School,Low,C,No,Poor,F
S0533,Male,18,12th,66,9,High School,High,C,Yes,Good,C
S0534,Male,18,9th,73,16,High School,High,A,No,Good,B
S0535,Male,15,10th,68,21,Bachelor's,High,C,No,Average,C
S0536,Female,18,11th,78,10,High School,High,C,No,Poor,F
S0537,Female,16,9th,73,5,Bachelor's,High,D,Yes,Good,B
S0538,Male,15,12th,97,9,High School,Low,C,No,Average,F
S0539,Male,18,10th,95,18,Master's,Medium,B,Yes,Good,A
S0540,Female,15,12th,99,9,Master's,Medium,A,Yes,Good,A
S0541,Male,17,11th,76,5,Master's,Medium,C,Yes,Good,C
S0542,Female,14,12th,89,22,Master's,Medium,A,Yes,Average,B
S0543,Male,15,12th,68,20,Bachelor's,Low,A,Yes,Poor,B
S0544,Female,14,11th,92,13,High School,Low,A,No,Average,D
S0545,Male,18,10th,84,23,Master's,Low,C,Yes,Poor,C
S0546,Female,14,9th,73,9,Bachelor's,High,C,Yes,Good,B
S0547,Male,15,10th,70,6,Master's,High,A,Yes,Poor,B
S0548,Female,17,11th,94,19,Master's,High,B,No,Good,A
S0549,Female,18,12th,100,11,Bachelor's,Medium,A,No,Good,B
S0550,Male,15,10th,73,8,Bachelor's,High,B,No,Average,C
S0551,Male,18,9th,89,5,High School,Medium,A,No,Good,D
S0552,Female,16,11th,100,17,High School,High,D,No,Average,C
S0553,Male,14,10th,63,24,Master's,Medium,A,No,Poor,C
S0554,Female,16,9th,63,11,Master's,High,A,No,Poor,C
S0555,Male,15,11th,87,19,High School,High,C,Yes,Good,B
S0556,Female,17,9th,67,18,High School,Low,B,Yes,Average,C
S0557,Female,18,11th,61,23,Bachelor's,High,D,No,Good,B
S0558,Female,14,12th,100,24,High School,High,B,Yes,Average,A
S0559,Female,18,10th,81,22,High School,Low,D,Yes,Average,D
S0560,Female,15,9th,100,14,Master's,Medium,A,No,Average,C
S0561,Female,18,11th,75,13,High School,Low,C,Yes,Poor,F
S0562,Male,14,9th,88,12,Master's,Low,C,Yes,Average,D
S0563,Male,15,9th,89,14,High School,Medium,B,No,Poor,F
S0564,Male,18,10th,71,21,Bachelor's,High,C,Yes,Average,B
S0565,Female,17,12th,94,6,High School,Medium,B,No,Poor,D
S0566,Female,15,9th,70,10,High School,High,B,No,Poor,D
S0567,Female,15,11th,80,9,High School,High,D,Yes,Poor,D
S0568,Female,17,11th,80,13,Master's,Medium,B,Yes,Good,B
S0569,Male,16,12th,64,9,Bachelor's,Low,D,Yes,Average,D
S0570,Male,14,11th,79,22,High School,Medium,C,No,Good,D
S0571,Female,16,12th,96,24,Master's,High,B,No,Average,A
S0572,Male,18,11th,62,13,Bachelor's,Medium,B,No,Average,D
S0573,Male,17,10th,92,21,Master's,Medium,A,Yes,Good,A
S0574,Female,16,9th,68,21,Master's,High,B,Yes,Poor,A
S0575,Male,15,10th,68,16,Bachelor's,Low,B,No,Average,C
S0576,Female,18,9th,63,11,High School,Medium,A,Yes,Poor,D
S0577,Male,18,9th,94,7,Master's,High,A,Yes,Good,A
S0578,Female,16,9th,76,14,Master's,High,C,No,Poor,D
S0579,Female,16,10th,93,6,High School,Medium,B,No,Average,D
S0580,Female,17,9th,83,7,High School,Low,C,Yes,Average,F
S0581,Female,14,10th,91,20,Bachelor's,Medium,C,No,Average,C
S0582,Male,16,12th,60,6,Bachelor's,Low,A,Yes,Good,B
S0583,Female,16,11th,67,14,Bachelor's,Low,D,No,Average,F
S0584,Female,15,11th,82,10,High School,Low,C,No,Good,F
S0585,Female,18,9th,99,15,Master's,Low,D,No,Poor,D
S0586,Male,14,10th,71,11,Master's,Medium,B,Yes,Average,C
S0587,Female,15,11th,71,19,Bachelor's,High,A,Yes,Average,A
S0588,Male,17,10th,74,10,High School,High,B,No,Average,D
S0589,Female,17,10th,100,24,Master's,High,B,No,Poor,A
S0590,Male,16,9th,78,13,Bachelor's,High,A,No,Average,C
S0591,Male,16,11th,85,24,Master's,High,B,Yes,Good,A
S0592,Female,17,9th,88,16,Master's,High,A,No,Poor,B
S0593,Male,16,9th,81,23,High School,Medium,D,No,Poor,F
S0594,Female,14,11th,99,24,High School,Low,B,No,Poor,C
S0595,Female,16,11th,80,7,Master's,High,A,No,Poor,C
S0596,Female,18,12th,97,19,Bachelor's,Medium,C,Yes,Poor,B
S0597,Male,16,12th,79,6,High School,High,B,Yes,Good,B
S0598,Male,15,10th,88,6,Master's,High,D,No,Poor,D
S0599,Female,14,11th,63,7,High School,Low,A,Yes,Average,D
S0600,Female,15,12th,66,10,High School,Low,B,Yes,Poor,D
S0601,Male,15,10th,87,19,High School,Low,B,Yes,Poor,C
S0602,Female,18,10th,87,14,Master's,High,B,No,Poor,C
S0603,Female,14,10th,63,13,Bachelor's,High,D,Yes,Poor,C
S0604,Female,14,12th,81,5,Bachelor's,High,A,Yes,Poor,B
S0605,Male,14,11th,71,20,Bachelor's,Low,C,Yes,Good,B
S0606,Male,14,9th,62,10,High School,Medium,C,No,Good,F
S0607,Male,14,10th,81,13,Master's,High,C,No,Poor,D
S0608,Female,18,12th,61,8,High School,High,A,Yes,Good,B
S0609,Female,16,12th,83,6,Bachelor's,High,C,Yes,Average,C
S0610,Female,15,9th,93,8,Bachelor's,Medium,D,No,Poor,D
S0611,Male,14,9th,86,5,Master's,High,A,No,Average,C
S0612,Female,16,12th,100,23,High School,Medium,B,Yes,Average,B
S0613,Female,16,11th,60,14,Bachelor's,High,D,Yes,Poor,C
S0614,Female,15,9th,67,19,Master's,Medium,B,No,Average,C
S0615,Female,18,12th,82,23,High School,High,C,No,Average,D
S0616,Male,17,9th,97,20,High School,Low,D,Yes,Average,C
S0617,Male,17,11th,65,8,Bachelor's,Low,A,No,Poor,D
S0618,Female,16,10th,81,6,Bachelor's,Low,D,Yes,Poor,D
S0619,Male,15,9th,84,17,High School,Low,B,Yes,Average,C
S0620,Male,17,11th,77,5,High School,High,A,Yes,Poor,C
S0621,Female,16,12th,76,21,Bachelor's,Low,D,No,Poor,D
S0622,Female,18,9th,71,17,High School,Medium,D,Yes,Average,D
S0623,Male,17,9th,65,8,Bachelor's,Low,D,Yes,Poor,D
S0624,Female,16,12th,85,11,High School,Low,D,No,Good,F
S0625,Male,16,10th,86,21,Bachelor's,Low,A,No,Poor,C
S0626,Female,14,12th,67,13,Master's,High,B,Yes,Good,A
S0627,Male,18,9th,78,8,Bachelor's,Low,D,Yes,Average,D
S0628,Female,14,12th,60,23,Bachelor's,Medium,A,No,Poor,C
S0629,Male,15,11th,88,5,Master's,Low,B,No,Average,D
S0630,Male,14,12th,94,14,High School,Low,D,No,Average,F
S0631,Male,14,9th,99,8,Master's,Low,B,Yes,Average,B
S0632,Female,17,12th,73,13,Bachelor's,Medium,B,Yes,Average,C
S0633,Male,16,10th,94,17,High School,Low,A,Yes,Average,B
S0634,Male,18,12th,79,18,Master's,Medium,B,No,Poor,C
S0635,Female,14,10th,72,14,High School,Medium,A,Yes,Good,C
S0636,Female,18,11th,97,10,High School,Low,D,No,Poor,F
S0637,Male,14,10th,67,20,Master's,Medium,B,Yes,Poor,B
S0638,Male,15,12th,79,10,High School,High,B,No,Poor,D
S0639,Female,14,9th,92,21,Master's,Low,C,Yes,Poor,B
S0640,Female,17,10th,85,14,Bachelor's,Low,D,Yes,Good,C
S0641,Female,16,11th,98,22,High School,Medium,D,No,Poor,D
S0642,Female,15,10th,80,22,Bachelor's,Medium,C,No,Average,D
S0643,Female,14,10th,100,7,Bachelor's,Low,C,Yes,Poor,C
S0644,Male,18,10th,68,24,High School,High,A,No,Poor,C
S0645,Female,15,11th,83,19,Master's,Medium,A,No,Good,B
S0646,Male,15,12th,96,19,High School,Medium,B,Yes,Good,A
S0647,Male,14,10th,100,8,Bachelor's,High,B,No,Average,B
S0648,Male,15,10th,76,13,Bachelor's,High,B,Yes,Poor,B
S0649,Female,18,9th,83,23,Master's,Low,B,Yes,Poor,B
S0650,Male,15,11th,80,21,High School,High,A,No,Poor,C
S0651,Male,18,10th,98,15,Bachelor's,Low,D,No,Average,D
S0652,Female,14,11th,100,13,Bachelor's,High,B,Yes,Good,A
S0653,Male,16,10th,98,14,Bachelor's,Medium,D,Yes,Average,C
S0654,Male,15,12th,72,22,Master's,Low,B,Yes,Poor,B
S0655,Female,16,12th,70,24,Bachelor's,Low,C,Yes,Good,B
S0656,Male,18,10th,78,17,Bachelor's,Low,B,Yes,Good,A
S0657,Male,15,12th,70,12,High School,High,B,Yes,Average,C
S0658,Male,17,10th,72,11,High School,Medium,B,No,Good,D
S0659,Female,16,12th,60,21,Bachelor's,Low,A,No,Good,B
S0660,Female,15,9th,99,19,Bachelor's,Low,C,No,Poor,C
S0661,Female,16,9th,78,24,High School,Low,B,Yes,Poor,C
S0662,Male,15,9th,71,19,Master's,Low,B,No,Good,B
S0663,Male,14,11th,67,5,Master's,Medium,D,Yes,Good,C
S0664,Female,16,11th,67,18,Master's,High,C,Yes,Average,B
S0665,Male,17,9th,71,9,Master's,Medium,B,No,Average,D
S0666,Male,17,11th,92,15,Master's,Low,D,Yes,Good,B
S0667,Female,18,12th,85,20,Master's,Medium,D,Yes,Poor,C
S0668,Female,15,10th,98,6,Master's,Low,A,Yes,Good,A
S0669,Male,16,10th,87,12,Master's,High,D,Yes,Good,B
S0670,Male,18,10th,64,15,High School,High,B,Yes,Poor,C
S0671,Male,16,9th,67,22,Master's,High,A,Yes,Poor,A
S0672,Female,15,11th,84,7,Master's,Low,A,No,Average,D
S0673,Female,17,12th,86,5,Master's,Medium,B,Yes,Average,C
S0674,Female,14,12th,82,15,Bachelor's,High,C,Yes,Average,C
S0675,Female,17,9th,89,20,High School,Low,D,Yes,Average,D
S0676,Male,18,12th,82,22,High School,Low,A,Yes,Poor,C
S0677,Female,14,12th,79,20,High School,Medium,C,No,Good,D
S0678,Female,18,12th,77,14,Master's,High,B,No,Average,C
S0679,Female,15,12th,77,22,Master's,Low,D,Yes,Average,C
S0680,Female,14,11th,61,10,Bachelor's,Medium,D,Yes,Poor,D
S0681,Female,18,12th,63,23,High School,High,A,Yes,Poor,B
S0682,Male,15,10th,89,8,Master's,Medium,D,No,Good,D
S0683,Male,17,9th,92,17,High School,Medium,D,No,Good,C
S0684,Female,15,11th,95,18,Bachelor's,Low,D,No,Poor,C
S0685,Male,16,12th,77,7,Bachelor's,Low,D,No,Average,F
S0686,Female,15,11th,96,14,Bachelor's,Low,B,Yes,Average,B
S0687,Female,15,12th,78,10,High School,Medium,C,No,Average,F
S0688,Male,16,10th,87,5,Master's,Low,B,No,Good,C
S0689,Male,18,9th,99,18,Master's,Medium,B,Yes,Average,A
S0690,Female,18,12th,79,12,Bachelor's,Medium,A,Yes,Average,C
S0691,Female,15,12th,92,23,Master's,Low,D,No,Poor,C
S0692,Female,16,12th,71,18,Bachelor's,High,B,No,Average,B
S0693,Male,16,12th,74,14,High School,High,D,No,Poor,F
S0694,Female,17,9th,100,21,Bachelor's,High,B,No,Average,A
S0695,Female,18,9th,98,13,High School,Medium,B,Yes,Good,B
S0696,Female,14,10th,61,10,Bachelor's,Medium,A,Yes,Average,C
S0697,Male,18,9th,88,15,Master's,Medium,C,No,Average,F
S0698,Female,18,12th,100,11,Master's,Low,C,No,Poor,D
S0699,Female,17,10th,69,21,Bachelor's,Medium,B,No,Poor,C
S0700,Male,14,10th,61,5,Master's,Low,A,No,Poor,D
S0701,Female,17,10th,70,9,Master's,Low,D,No,Average,F
S0702,Female,14,12th,72,13,Master's,High,D,Yes,Average,C
S0703,Male,15,11th,69,22,High School,High,B,Yes,Good,A
S0704,Female,14,12th,73,6,Master's,High,C,Yes,Average,C
S0705,Male,17,9th,77,15,High School,Low,A,No,Good,D
S0706,Male,18,9th,68,10,Bachelor's,Low,C,No,Poor,F
S0707,Female,14,12th,98,12,Master's,Low,D,Yes,Poor,C
S0708,Female,14,12th,87,8,Master's,Medium,C,Yes,Poor,D
S0709,Female,16,10th,62,22,Master's,Low,D,No,Good,C
S0710,Female,18,12th,79,15,Bachelor's,High,A,Yes,Average,B
S0711,Male,15,10th,65,9,High School,High,A,No,Poor,D
S0712,Female,17,9th,86,19,High School,Low,B,No,Average,D
S0713,Male,15,10th,61,22,Master's,Low,B,Yes,Average,B
S0714,Female,18,12th,88,6,Bachelor's,High,C,Yes,Poor,C
S0715,Female,14,9th,97,15,Bachelor's,Low,A,Yes,Good,A
S0716,Female,14,11th,62,17,Bachelor's,High,A,No,Average,B
S0717,Male,18,10th,75,8,Bachelor's,Medium,B,No,Poor,D
S0718,Female,14,9th,89,11,Bachelor's,High,D,Yes,Average,C
S0719,Female,14,10th,99,15,High School,Medium,C,No,Average,F
S0720,Female,14,9th,61,8,High School,Low,C,No,Average,F
S0721,Female,17,9th,76,19,High School,Low,B,No,Average,D
S0722,Male,17,10th,100,5,Master's,Medium,A,Yes,Average,B
S0723,Female,16,11th,71,7,Bachelor's,Low,B,No,Good,C
S0724,Male,15,9th,94,18,Master's,Medium,B,Yes,Good,A
S0725,Male,18,9th,60,10,Bachelor's,Low,B,Yes,Poor,C
S0726,Male,18,9th,74,22,High School,High,B,No,Good,B
S0727,Male,18,11th,85,5,Master's,Low,D,Yes,Good,C
S0728,Male,16,11th,96,10,High School,High,D,No,Good,C
S0729,Male,17,12th,80,10,Bachelor's,High,A,Yes,Average,B
S0730,Female,16,10th,90,20,Bachelor's,Medium,B,Yes,Average,B
S0731,Male,18,11th,84,9,Bachelor's,Low,D,No,Poor,F
S0732,Male,15,10th,82,21,High School,Medium,A,Yes,Poor,C
S0733,Male,14,12th,83,14,Bachelor's,Low,B,Yes,Poor,C
S0734,Female,17,10th,97,22,High School,High,C,Yes,Average,B
S0735,Female,17,11th,87,11,Master's,High,D,No,Good,C
S0736,Male,16,10th,80,7,Bachelor's,Low,A,No,Good,C
S0737,Female,17,11th,77,17,Bachelor's,Low,C,Yes,Average,C
S0738,Male,18,10th,95,19,Bachelor's,Medium,B,Yes,Poor,A
S0739,Male,18,11th,94,24,Master's,Low,B,Yes,Poor,A
S0740,Female,16,11th,68,23,Bachelor's,Low,B,No,Poor,C
S0741,Male,18,10th,97,7,High School,Low,D,No,Average,F
S0742,Female,15,12th,89,8,High School,Medium,A,Yes,Poor,D
S0743,Female,16,9th,93,9,Bachelor's,Low,C,No,Poor,D
S0744,Male,15,12th,91,5,Bachelor's,High,A,No,Average,B
S0745,Male,14,10th,62,8,Master's,Medium,D,No,Good,D
S0746,Female,15,12th,62,16,Master's,Medium,A,No,Average,C
S0747,Male,14,11th,87,14,Master's,High,D,Yes,Average,C
S0748,Male,14,9th,74,24,Bachelor's,High,B,No,Average,B
S0749,Male,15,10th,100,17,Master's,High,C,No,Average,B
S0750,Female,16,10th,82,18,Master's,Low,B,Yes,Good,A
S0751,Female,18,10th,99,9,High School,High,A,Yes,Poor,B
S0752,Male,18,9th,70,8,Master's,Low,B,No,Average,D
S0753,Female,14,11th,91,18,High School,Medium,C,No,Good,C
S0754,Female,14,10th,95,14,High School,Medium,B,Yes,Poor,C
S0755,Female,16,12th,92,21,Master's,High,C,Yes,Poor,A
S0756,Female,17,10th,83,14,High School,Low,C,Yes,Poor,F
S0757,Female,15,10th,98,11,Bachelor's,High,B,No,Average,B
S0758,Male,14,10th,93,20,Bachelor's,High,D,No,Average,B
S0759,Male,18,10th,87,5,Master's,Low,A,Yes,Poor,C
S0760,Male,16,11th,96,21,Bachelor's,High,D,No,Poor,B
S0761,Female,15,12th,66,13,High School,Medium,D,Yes,Poor,F
S0762,Female,16,11th,63,10,Bachelor's,High,B,No,Poor,C
S0763,Male,15,12th,96,23,Master's,Low,A,Yes,Poor,A
S0764,Female,15,10th,60,17,Master's,Low,A,Yes,Poor,B
S0765,Male,14,9th,60,7,High School,Medium,D,No,Good,F
S0766,Male,16,11th,79,11,Master's,Low,B,No,Poor,D
S0767,Male,16,9th,78,13,Bachelor's,Low,A,No,Average,D
S0768,Female,18,11th,88,9,Master's,Medium,D,No,Average,F
S0769,Female,18,10th,69,14,High School,High,A,No,Average,D
S0770,Male,14,11th,77,21,Master's,Medium,B,No,Poor,C
S0771,Male,14,10th,87,16,Bachelor's,High,B,Yes,Average,A
S0772,Male,17,11th,94,20,High School,Medium,B,No,Good,B
S0773,Male,18,10th,90,7,Bachelor's,High,A,Yes,Poor,B
S0774,Female,15,10th,86,13,High School,Medium,C,Yes,Average,F
S0775,Female,16,12th,70,19,Master's,High,A,No,Good,A
S0776,Male,14,10th,97,9,High School,Medium,C,Yes,Good,C
S0777,Male,16,12th,64,17,High School,High,B,Yes,Average,B
S0778,Female,16,10th,67,18,Master's,Medium,D,No,Good,C
S0779,Female,17,9th,93,24,Bachelor's,Low,C,No,Average,C
S0780,Male,18,10th,71,19,Master's,High,B,No,Good,A
S0781,Male,14,9th,97,20,High School,Medium,B,Yes,Poor,B
S0782,Male,16,9th,60,17,Master's,High,C,No,Poor,C
S0783,Female,14,10th,90,21,High School,High,D,No,Poor,D
S0784,Female,15,9th,63,12,Master's,Medium,B,No,Poor,D
S0785,Female,17,12th,64,6,Master's,High,C,No,Poor,D
S0786,Male,15,11th,89,9,Bachelor's,Medium,D,Yes,Average,D
S0787,Male,14,10th,83,10,High School,Low,D,No,Poor,F
S0788,Female,14,9th,62,16,Bachelor's,High,B,Yes,Poor,A
S0789,Female,18,10th,70,22,High School,Low,A,No,Poor,D
S0790,Male,16,12th,63,5,Master's,High,A,Yes,Poor,B
S0791,Female,16,10th,85,21,High School,High,B,Yes,Good,A
S0792,Female,15,10th,86,15,Bachelor's,High,D,Yes,Poor,C
S0793,Male,17,9th,86,14,Bachelor's,Medium,B,No,Poor,D
S0794,Female,16,12th,65,23,Bachelor's,Low,C,Yes,Average,C
S0795,Male,18,11th,74,18,High School,High,A,No,Good,B
S0796,Male,15,11th,89,14,Bachelor's,Medium,C,No,Average,F
S0797,Male,15,9th,96,19,Bachelor's,High,B,No,Poor,A
S0798,Male,18,10th,96,23,Bachelor's,Medium,B,No,Average,B
S0799,Male,17,9th,96,8,Master's,High,D,No,Average,C
S0800,Male,18,9th,94,6,Master's,Low,D,Yes,Poor,C
S0801,Male,17,9th,82,13,High School,Low,D,No,Good,F
S0802,Female,18,10th,65,14,High School,High,C,Yes,Good,C
S0803,Male,18,12th,63,15,Bachelor's,Medium,D,Yes,Average,D
S0804,Male,14,9th,77,18,Master's,High,B,Yes,Poor,A
S0805,Female,15,10th,68,11,Bachelor's,Medium,D,Yes,Average,D
S0806,Female,18,12th,88,19,Bachelor's,High,A,Yes,Average,A
S0807,Female,18,9th,72,23,Master's,Medium,D,Yes,Average,C
S0808,Male,16,11th,76,19,Master's,Low,C,Yes,Poor,C
S0809,Female,15,12th,91,12,Master's,High,A,No,Poor,B
S0810,Male,16,9th,81,15,High School,Low,A,Yes,Good,C
S0811,Male,15,12th,63,13,High School,Low,A,No,Poor,F
S0812,Male,16,12th,64,19,Bachelor's,High,C,Yes,Average,B
S0813,Male,18,12th,96,5,High School,High,B,Yes,Average,B
S0814,Female,18,12th,100,5,Master's,Medium,D,Yes,Good,B
